product_content_id,product_content_name,category_id,category_name,subcategory_name,business_unit_id,business_unit_name,color,price,create_date,update_date
85495,Masque Apaisant Hydratant 50 ml,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,37.684562,2021-02-16 16:06:27,2021-02-16 16:06:27
6983393,Nem Bombası Canlandırıcı Kağıt Maske 32gr - 3 Al 2 Öde,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,15.097209999999999,2021-02-18 04:20:13,2021-02-18 04:20:13
4050153,3 Aşamalı Aydınlatıcı Yaprak Maske - 3step Whitening Mask 15g x 22g x 1.5g 8806185787765,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,11.314309999999999,2021-02-17 14:40:15,2021-02-17 14:40:15
34603283,Onka Farma %100 Saf Kekik Yağı (%75.47 Carvacrol) Uçucu Esansiyel Yağ 30 Ml,747,Bakım Yağları,Bakım Yağları,100172,Cilt Bakım,UNKNOWN,20.59961,2021-02-16 20:40:36,2021-02-16 20:40:36
33025130,Saf Bolluk Bereket Aromaterapi Yağ Karışımı 8681529833311,747,Bakım Yağları,Bakım Yağları,100172,Cilt Bakım,UNKNOWN,28.85321,2021-02-19 11:20:59,2021-02-19 11:20:59
32236003,Çay Ağacı Yağı,747,Bakım Yağları,Bakım Yağları,100172,Cilt Bakım,UNKNOWN,10.317,2021-02-16 20:20:54,2021-02-16 20:20:54
32709100,Distile Anason Yağı 50 ml,747,Bakım Yağları,Bakım Yağları,100172,Cilt Bakım,UNKNOWN,29.231499999999997,2021-02-18 09:43:55,2021-02-18 09:43:55
597323,Cocoa Butter Tummy Butter Stretch Marks 125 Gr,747,Bakım Yağları,Bakım Yağları,100172,Cilt Bakım,UNKNOWN,44.500659999999996,2021-02-14 15:00:15,2021-02-14 15:00:15
70819274,"Leke Açıcı, Göz Altı Morluk Ve Kırışıklık Karşıtı Ikili Serum Set",740,Cilt Bakım Seti,Cilt Bakım Seti,100172,Cilt Bakım,UNKNOWN,72.18460999999999,2021-02-16 08:40:21,2021-02-16 08:40:21
46663211,Madeleb Cilt Yenileyici Krem 40 Ml X 2 Adet,740,Cilt Bakım Seti,Cilt Bakım Seti,100172,Cilt Bakım,UNKNOWN,43.634032,2021-02-15 19:20:13,2021-02-15 19:20:13
4663012,Q10 Anti Age - Yaşlanma Karşıtı Set 41030409055813,740,Cilt Bakım Seti,Cilt Bakım Seti,100172,Cilt Bakım,UNKNOWN,57.740809999999996,2021-02-18 21:20:15,2021-02-18 21:20:15
69536197,Sarı Cilt Temizleme Süngeri,1821,Yüz Temizleyici,Yüz Temizleyici,100172,Cilt Bakım,UNKNOWN,8.563109999999998,2021-02-15 16:00:37,2021-02-15 16:00:37
6880798,Micellar Temizleme Suyu 400 ml Pamuk Hediye 8690595049298,1821,Yüz Temizleyici,Yüz Temizleyici,100172,Cilt Bakım,UNKNOWN,7.892504999999999,2021-02-17 10:40:14,2021-02-17 10:40:14
22716009,Killi Yüz Temizleme Maskesi Aloea Veralı 400 G,1821,Yüz Temizleyici,Yüz Temizleyici,100172,Cilt Bakım,UNKNOWN,5.1172320000000004,2021-02-16 13:02:00,2021-02-16 13:02:00
72186915,Canlandırıcı Yüz Temizleme Jeli,1821,Yüz Temizleyici,Yüz Temizleyici,100172,Cilt Bakım,UNKNOWN,24.038610000000002,2021-02-17 14:40:15,2021-02-17 14:40:15
34306889,Celenes Thermal Temızleme Jelı 250ml Yaglı/karma,1821,Yüz Temizleyici,Yüz Temizleyici,100172,Cilt Bakım,UNKNOWN,17.126219999999996,2021-02-17 14:40:15,2021-02-17 14:40:15
6241923,Cilt Temizleme Jeli - Soothing Micellar Gel 90 ml 8436571630056,1821,Yüz Temizleyici,Yüz Temizleyici,100172,Cilt Bakım,UNKNOWN,14.581359999999998,2021-02-14 20:20:59,2021-02-14 20:20:59
